origincountry,Total_revenue
UNITED STATES,17926642434.891796
FRANCE,5052864004.290316
MEXICO,4746471578.829366
CANADA,2452148315.159981
UNITED KINGDOM,2236471718.9899745
ITALY,1752804586.9601223
IRELAND,1336004199.0399907
PUERTO RICO,797914770.6500611
SWEDEN,743101530.1599417
AUSTRALIA,578799609.3200314
NEW ZEALAND,519986833.31001776
INTERNATIONAL,412764083.4499969
NETHERLANDS,402767736.7100305
GERMANY,378434836.98001164
SPAIN,222690271.4399962
JAPAN,190381293.93000075
POLAND,164744334.98999935
ARGENTINA,140250586.84000367
US VIRGIN ISLANDS,115812999.4799974
CHILE,91524891.53000006
AUSTRIA,84666998.75000149
,75349778.590004
JAMAICA,67950176.46999955
FIJI,46577893.029999875
PORTUGAL,38855643.10999994
GUATEMALA,26271634.669999454
BELGIUM,23178879.1299996
TRINIDAD & TOBAGO,20511745.76000019
LATVIA,18990466.299999923
SOUTH AFRICA,18761294.059999973
BARBADOS,18606235.229999945
RUSSIA,17362645.630000003
BERMUDA,14718791.889999852
VENEZUELA,13448060.849999731
DOMINICAN REPUBLIC,13289124.299999932
HAITI,12814859.350000242
ISRAEL,8372546.040000001
WEST INDIES,7873363.84999992
MIXED,6940446.500000005
BRAZIL,6546965.939999963
GUYANA,6284802.110000009
UKRAINE,5311089.390000015
GREECE,4085282.2700000047
TAIWAN,3220998.6099999985
PANAMA,2899852.990000009
VIRGIN ISLANDS,2471190.4800000084
CHINA,2396355.050000024
CZECH REPUBLIC,2375804.15
PERU,1883473.3800000036
TURKEY,1753126.1300000045
COLOMBIA,1597774.9
BAHAMAS,1311890.6
THAILAND,1280965.349999997
PHILIPPINES,1269789.77
SLOVAKIA,1068354.2599999993
DENMARK,1046976.2300000044
MONTENEGRO,966701.9499999994
LEBANON,906518.5899999994
SLOVENIA,558552.8600000001
SWITZERLAND,520670.23999999935
HUNGARY,519319.33999999973
NICARAGUA,517567.73000000016
VIETNAM,514283.5299999996
INDIA,501352.4199999997
ANTIGUA,383838.6699999994
ICELAND,352578.7800000012
MAURITIUS,346005.0400000001
BELIZE,341638.9600000005
EL SALVADOR,195921.61
FINLAND,195586.22000000003
SERBIA,190567.74000000002
SINGAPORE,144316.7200000017
CURACAO,134494.96999999997
MARTINIQUE,129570.79
CROATIA,122506.6
GUADELOUPE,104313.96
COSTA RICA,101266.92000000004
SOUTH KOREA,87371.06999999989
ALBANIA,79962.17999999993
LUXEMBOURG,77683.08000000005
NORWAY,59808.14
BULGARIA,58881.649999999994
URUGUAY,50540.47000000004
MACEDONIA,34852.960000000014
ARMENIA,29851.940000000002
INDONESIA,28862.87999999983
SCOTLAND,21477.49
LAOS,18171.640000000054
TUNISIA,5510.0
CYPRUS,4934.450000000001
SINT MAARTEN,3668.009999999999
ENGLAND,3183.1400000000003
ST LUCIA,1728.67
CAYMAN ISLANDS,1588.2199999999998
ST KITTS,882.3199999999999
MOLDOVA,532.0
GRENADA,447.15
MONGOLIA,350.57
ROMANIA,80.92
HOLLAND,0.0
NA,-1628341.539999998
